"","movie_id","title","imdb_score","release_month","release_day","release_year","duration_mins","language","country","content_rating","aspect_ratio","distributor","number_news_articles","director","director_facebook_likes","actor_1_name","actor_1_facebook_likes","actor_1_known_for","actor_1_star_meter","actor_2_name","actor_2_facebook_likes","actor_2_known_for","actor_2_star_meter","actor_3_name","actor_3_facebook_likes","actor_3_known_for","actor_3_star_meter","movie_imdb_link","color","critic_reviews_number","user_votes_number","cast_total_facebook_likes","number_of_faces_in_movie_poster","user_reviews_number","movie_budget","movie_facebook_likes","sum_total_likes","ratio_movie_cast_likes","movie_meter_IMDB_pro","number_of_votes","cinematographer","production_company","plot_summary","Action","Adventure","Animation","Biography","Comedy","Crime","Documentary","Drama","Family","Fantasy","Film-Noir","History","Horror","Music","Musical","Mystery","Romance","Sci-Fi","Short","Sport","Thriller","War","Western"
"1","10000","Resident Evil: Retribution",5.4,"Sep",14,2012,96,"English","Germany","R","2.35","Screen Gems",2193,"Paul W.S. Anderson",545,"Milla Jovovich",14000,"The Fifth Element ",281,"Boris Kodjoe",1000,"Resident Evil: Afterlife ",971,"Bingbing Li",839,"The Forbidden Kingdom ",1538,"http://www.imdb.com/title/tt1855325/?ref_=fn_tt_tt_1","Color",156,67,17913,0,516,6.5e+07,32000,16519,1.94,4205,121772,"Glen MacPherson","Constantin Film","Alice fights alongside a resistance movement to regain her freedom from an Umbrella Corporation testing facility.","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0"
"2","10002","Yoga Hosers",4.8,"Sep",2,2016,88,"English","USA","PG-13","2.35","XYZ Films",485,"Kevin Smith",0,"Johnny Depp",40000,"Pirates of the Caribbean: The Curse of the Black Pearl ",121,"Haley Joel Osment",3000,"The Sixth Sense ",1199,"Natasha Lyonne",4,"Orange Is the New Black ",388,"http://www.imdb.com/title/tt3838992/?ref_=fn_tt_tt_1","Color",271,2875,46115,7,491,5e+06,0,44000,0,3122,9628,"James Laxton","Abbolita Productions","Two teenage yoga enthusiasts team up with a legendary man-hunter to battle with an ancient evil presence that is threatening their major party plans.Read more: Plot summary","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"3","10009","Gracie",6.2,"Jun",1,2007,95,"English","USA","PG-13","2.35","Magnolia Pictures",49,"Davis Guggenheim",49,"Emma Bell",702,"A Quiet Passion ",6417,"John Doman",616,"Mercury Rising ",1733,"Carly Schroeder",184,"Gracie ",1658,"http://www.imdb.com/title/tt0441007/?ref_=fn_tt_tt_1","Color",460,1688,2007,1,334,9e+06,313,1628,0.19,26748,3811,"Chris Manley","Elevation Filmworks","A teenager faces an uphill battle when she fights to give women the opportunity to play competitive soccer.","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"4","10010","Valentine",4.7,"Feb",2,2001,96,"English","USA","R","2.35","Warner Bros.",12,"Jamie Blanks",9,"Marley Shelton",690,"Planet Terror ",1932,"Jessica Capshaw",533,"Valentine ",979,"Johnny Whitworth",379,"Limitless (I) ",1574,"http://www.imdb.com/title/tt0242998/?ref_=fn_tt_tt_1","Color",25,915,2402,1,461,1e+07,0,1680,0,7202,22349,"Rick Bota","Warner Bros.","Five women are stalked by an unknown assailant while preparing for Valentine's Day.Read more: Plot summary","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0"
"5","10015","Fast Times at Ridgemont High",7.2,"Aug",13,1982,90,"English","USA","X","1.85","Universal Pictures",634,"Amy Heckerling",143,"Jennifer Jason Leigh",1000,"The Hateful Eight ",84,"Judge Reinhold",901,"Beverly Hills Cop ",839,"Vincent Schiavelli",710,"Tomorrow Never Dies ",1698,"http://www.imdb.com/title/tt0083929/?ref_=fn_tt_tt_1","Color",22,2641,5002,1,278,4500000,0,2855,0,957,82153,"Matthew F. Leonetti","Universal Pictures","A group of Southern California high school students are enjoying their most important subjects: sex, drugs, and rock n' roll.","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","10017","Saved!",6.9,"Jun",11,2004,92,"English","USA","PG-13","1.85","United Artists",10,"Brian Dannelly",12,"Macaulay Culkin",3000,"Home Alone ",1578,"Patrick Fugit",835,"Almost Famous ",785,"Eva Amurri Martino",695,"Saved! ",538,"http://www.imdb.com/title/tt0332375/?ref_=fn_tt_tt_1","Color",26,1823,5668,5,405,5e+06,0,4644,0,5604,42469,"Bobby Bukowski","United Artists","When a girl attending a Christian high school becomes pregnant, she finds herself ostracized and demonized, as all of her former friends turn on her.Read more: Plot summary","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","10019","The Trials of Darryl Hunt",7.7,"Jan",10,2006,106,"English","USA","PG-13","1.66","Cinema Management Group",23,"Ricki Stern",15,"Darryl Hunt",2,"Cold Blood ",6473088,"Evelyn Jefferson",0,"The Trials of Darryl Hunt ",1320,"John Reeves",1,"Black Girl Down ",2176,"http://www.imdb.com/title/tt0446055/?ref_=fn_tt_tt_1","Color",13,2752,2,0,2,2e+05,246,17,14.47,72800,933,"multiple","Break Thru Films","""The Trials of Darryl Hunt"""" is a feature documentary about a brutal rape/murder case and a wrongly convicted man","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","1002","Star Wars: Episode V - The Empire Strikes Back",8.8,"Jun",20,1980,127,"English","USA","PG","2.35","Walt Disney Studios",3597,"Irvin Kershner",883,"Harrison Ford",11000,"Raiders of the Lost Ark ",413,"Kenny Baker",504,"Time Bandits ",61,"Anthony Daniels",372,"Star Wars: The Force Awakens ",1614,"http://www.imdb.com/title/tt0080684/?ref_=fn_tt_tt_1","Color",139,2858,12643,0,868,1.8e+07,17000,12828,1.33,1226,1005694,"Peter Suschitzky","Lucasfilm","After the rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader.","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"9","1003","Felicia's Journey",7,"Nov",24,1999,116,"English","Canada","PG-13","2.35","AMBI Group",18,"Atom Egoyan",460,"Bob Hoskins",5000,"The Long Good Friday ",1724,"Elaine Cassidy",203,"Disco Pigs ",771,"Gerard McSorley",625,"Michael Collins ",1370,"http://www.imdb.com/title/tt0165773/?ref_=fn_tt_tt_1","Color",507,2559,5426,0,831,2.3e+07,284,5734,0.05,36136,7153,"Paul Sarossy","Alliance Atlantis Communications","A young woman leaves Ireland to find her boyfriend in England, and while there is helped by a man hiding unsettling secrets.Read more: Plot summary","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"10","10030","A Few Good Men",7.6,"Dec",11,1992,138,"English","USA","R","2.35","Columbia Pictures Corporation",658,"Rob Reiner",0,"Tom Cruise",10000,"Top Gun ",85,"Demi Moore",2000,"G.I. Jane ",1910,"Kevin Pollak",499,"The Usual Suspects ",1171,"http://www.imdb.com/title/tt0104257/?ref_=fn_tt_tt_1","Color",491,755,14619,0,399,4e+07,0,12574,0,2659,207460,"Robert Richardson","Columbia Pictures Corporation","Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"11","10043","Creepshow",6.9,"Nov",12,1982,130,"English","USA","R","1.85","Warner Bros.",537,"George A. Romero",0,"Ted Danson",875,"Becker ",483,"Hal Holbrook",826,"Into the Wild ",1212,"Adrienne Barbeau",527,"Escape from New York ",286,"http://www.imdb.com/title/tt0083767/?ref_=fn_tt_tt_1","Color",32,1430,2662,0,251,8e+06,0,2303,0,3953,35583,"Michael Gornick","Creepshow Films Inc.","An anthology which tells five terrifying tales based on the E.C. horror comic books of the 1950s.","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"12","10051","The Call of Cthulhu",7.3,"Oct",7,2005,47,"English","USA","Not Rated","1.33","Microcinema International",51,"Andrew Leman",2,"Dan Novy",19,"Deep Blue Sea ",603263,"David Mersault",9,"The Guardian ",1079,"Barry Lynch",428,"Ticks ",2093,"http://www.imdb.com/title/tt0478988/?ref_=fn_tt_tt_1","Black and White",447,2468,43,0,905,50000,0,35,0,19542,6999,"Davey Robertson","The H.P. Lovecraft Historical Society (HPLHS)","While sorting the affairs of his late Uncle, a man accidentally stumbles across a series of dark secrets connected to an ancient horror waiting to be freed.","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","1","0","0"
"13","10063","Blow Out",7.4,"Jul",24,1981,107,"English","USA","R","2.35","Filmways Pictures",21,"Brian De Palma",0,"Nancy Allen",517,"RoboCop ",2736,"Dennis Franz",376,"NYPD Blue ",1464,"John McMartin",6,"b""All the Presidents Men """,627,"http://www.imdb.com/title/tt0082085/?ref_=fn_tt_tt_1","Color",25,1316,1067,0,144,1.8e+07,2000,994,2.01,5833,35007,"Vilmos Zsigmond","Cinema 77","A movie sound recordist accidentally records the evidence that proves that a car accident was actually murder and consequently finds himself in danger.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0"
"14","10076","Porky's",6.2,"Mar",19,1982,94,"English","Canada","R","1.85","Twentieth Century Fox",57,"Bob Clark",84,"Art Hindle",110,"Black Christmas ",12414,"Susan Clark",95,"Hair ",1153,"Tony Ganios",823,"b""Porkys """,314,"http://www.imdb.com/title/tt0084522/?ref_=fn_tt_tt_1","Color",481,1491,582,0,154,4e+06,0,384,0,3301,34285,"Reginald H. Morris","Melvin Simon Productions","In 1954, a group of Florida high school students try to help their buddy lose his virginity, which leads them to seeking revenge on a sleazy nightclub owner and his redneck sheriff brother for harassing them.","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
